,A_id,B_id
675603,2576,138
451152,933,431
474205,1228,997
382538,2916,2805
163925,3074,2008
197771,623,1218
675313,2871,2695
564250,2374,1471
368865,2697,1504
517252,1849,1948
106013,2291,1684
636288,448,1361
250698,129,916
480974,1342,2619
376784,2811,55
173742,398,788
529278,1966,538
660631,820,1471
675462,870,1531
675288,3012,2487
239988,1143,1469
40240,1463,1102
426799,675,460
612345,3001,881
411683,462,2732
675105,1703,2535
268580,1539,2014
284515,1737,2956
675608,1238,273
491593,1513,1830
100206,2210,138
675233,87,490
258518,1395,263
85191,2060,1680
675572,1103,1151
611799,3001,373
227506,977,231
439941,81,2083
675212,1688,2427
558034,2296,2354
149165,2864,1302
359577,2589,2855
549411,2203,1998
340573,2412,1705
675508,2597,1320
218701,848,1293
639417,499,2363
150282,2873,284
672451,961,73
452371,945,2204
263935,1485,2799
13378,1151,1439
310099,2049,2767
675219,1364,2039
621020,3082,1639
570306,2473,1840
441194,84,652
253306,1338,283
509063,1714,1930
203046,68,1564
448130,90,1743
288536,18,2484
110900,2357,2529
265655,150,2772
126869,254,169
675519,116,680
370355,2709,1955
636425,451,1359
196909,62,1228
675413,2369,1254
675165,2169,1366
45930,1535,563
666221,886,2247
29409,1319,287
211504,77,582
675660,799,949
446866,891,1291
330374,2280,2751
549303,2203,2553
230430,1053,2586
480554,1342,273
468154,1147,1011
478173,130,2252
390632,2994,2538
455325,99,2923
250634,129,2503
675113,107,2716
250630,129,2087
108267,2333,467
256891,1380,2150
285779,1761,1621
651370,685,2050
124459,2528,2293
321457,2169,1366
258339,1395,1781
675643,607,1293
412250,474,2573
148602,2843,1439
436356,768,790
513939,1819,2226
250595,129,2464
675167,18,2484
675095,1636,1699
675347,1020,2181
675067,378,626
311284,2070,2645
255003,1368,2553
637226,469,2143
248204,1251,1953
538713,2071,935
675154,136,1567
172747,389,604
675089,2824,2158
278434,1662,1279
59931,1694,287
675230,2343,1999
295702,1887,1481
175787,419,165
278317,1662,2195
226764,965,2456
378224,2850,3011
377827,2844,2195
675311,1012,457
675471,2561,1289
180326,476,1355
260674,1437,646
258284,1395,1020
250605,129,2375
39350,1457,1114
621194,3094,2224
377569,2835,960
30552,1334,231
674160,991,755
278438,1662,989
675093,2819,717
308612,2025,2528
168792,338,1156
120364,2459,2002
396308,3045,2712
250629,129,2047
475421,1246,1087
675213,1936,2
502183,1636,1699
675566,883,146
60650,1703,2535
69476,188,1702
675334,197,2179
612207,3001,1828
6788,1082,345
159875,3014,2616
588137,2740,2269
536521,2029,2034
306698,2007,2021
675472,3060,1254
675236,56,296
250664,129,1506
278375,1662,1181
278373,1662,1344
352471,2511,1264
574897,2560,1830
311205,207,217
222587,902,2612
250760,129,1236
675435,2878,837
2223,1034,2671
675588,1749,2393
655090,709,1479
9911,1109,2343
298309,1908,807
611535,3001,1481
378464,2862,1718
61377,1724,2645
675218,2848,1743
491596,1513,493
260145,1425,2675
29848,1328,742
675144,1954,1994
649653,664,990
542275,2122,1223
675434,1090,298
250746,129,702
278281,1662,2500
675301,1224,815
397103,3060,1260
35731,140,1187
140195,2687,1127
472454,1201,3003
119142,2453,751
190804,560,751
211206,767,952
675231,523,1283
68790,1874,589
611491,3001,1448
675112,137,1918
675163,2142,665
675289,334,805
335958,2343,1999
675411,155,2601
278315,1662,2047
332868,2307,252
282441,1707,2774
671428,949,742
287137,1770,1263
675328,1485,2877
114076,2378,1102
634998,433,2226
675162,1522,236
488402,1486,1929
224552,935,982
410444,429,521
524192,1918,1147
602753,2905,2571
433038,753,1640
322278,2193,188
500798,1630,1421
122367,2498,2233
561184,2332,2325
675265,1481,1715
73593,1943,3024
87219,2099,646
673957,982,1349
247656,1233,1482
675605,3032,1897
250683,129,1370
445190,870,1315
668060,919,1740
453953,972,1576
405704,384,1362
503027,1639,1264
433019,750,629
118706,2435,2797
462690,1069,1
487770,1465,1929
411948,465,2779
675358,1800,1921
278279,1662,2087
566568,2392,1114
492121,1522,236
249798,1263,1561
640740,511,2406
376104,2805,1389
325722,2223,2621
120374,2459,1228
675238,1319,1243
675390,1165,1390
452553,945,775
675353,697,2565
675153,1960,158
333824,2316,400
66071,1802,1046
412200,468,428
92941,2150,1297
607710,2962,1636
558610,2299,1715
475556,1246,1176
439938,81,2798
229660,1020,1254
675309,3001,1448
235990,1128,1806
611000,3001,2451
675208,1233,1482
226777,968,1040
272623,1563,1044
288328,1797,2732
675415,1034,2671
675506,1481,1166
675280,2912,1682
545919,2155,1355
675376,2955,1303
356127,2547,1992
675148,2825,1725
388105,2976,2442
257138,1383,2720
71838,1904,1453
480348,1342,1065
3278,1040,2440
675371,1029,250
658521,751,2181
597602,2845,1352
636878,460,2563
22063,1238,2619
250695,129,1738
632721,40,998
278291,1662,2464
295493,1887,2008
207301,725,2013
547777,2179,710
250654,129,2754
468923,115,2844
350174,2478,263
670642,949,2540
24880,1259,2113
430027,717,1814
505339,1675,659
227516,977,1781
675642,254,133
22293,1238,1065
278269,1662,2673
56280,1634,2423
576229,2575,2438
287236,1779,2291
55079,1613,1355
97722,2189,2537
646463,613,1155
151651,2888,2720
675649,607,270
675064,2129,1557
144066,2741,464
13383,1151,1059
444049,864,2516
675584,84,652
203323,680,1521
55077,1613,689
590679,2764,2143
222311,899,657
675366,1675,659
197930,626,1386
675101,1053,2586
675474,1368,680
13834,116,1998
320250,2142,665
97743,2189,2891
194969,596,614
103430,2243,1828
146246,2810,286
179049,461,164
165795,3095,2458
549350,2203,263
28917,1313,2511
9430,1103,1151
250703,129,1564
675360,56,2605
41202,1484,1674
284685,1749,2393
675391,1342,2086
46730,155,2601
63152,1745,2189
675210,441,156
113649,2366,386
598499,2848,1504
260985,1467,2454
675386,1486,1929
169986,356,795
675159,1128,1806
675166,1372,2397
479142,1315,671
169060,347,1866
675589,2821,2290
329188,2262,2481
278266,1662,2569
671085,949,1706
675362,97,2000
257095,1383,120
38407,1433,70
128927,2564,3036
571486,250,385
288490,18,2694
675562,347,2177
339562,2397,2906
534494,2017,2887
582038,2647,2521
527385,1957,986
250720,129,188
675240,1885,970
579793,262,1277
632695,4,2089
311962,2076,1148
514053,1825,284
397105,3060,1254
60581,170,469
607305,2959,568
118064,2423,2277
307885,2019,1954
295436,1887,881
55072,1613,1443
80375,2003,1016
78573,1991,2065
146233,281,1366
570386,2473,231
595418,2818,1467
675571,1966,538
295391,1887,1116
41295,1487,171
675416,263,1727
35902,1400,460
445253,870,358
646307,607,270
627774,334,154
278355,1662,702
675254,1318,1534
432109,738,105
278394,1662,1161
621165,3088,563
660783,823,663
351724,2502,2000
390529,2994,2802
564266,2374,1534
9435,1103,374
591533,277,2294
139768,2675,1765
